cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,42971,51005,236749,66630,3374,0,25160
A2,26285,32835,100698,32005,1393,0,7033
A3,22713,22185,90158,30745,1428,0,13697
A4,24615,21659,92624,34113,1236,0,10803
A5,54448,32593,234412,57000,2869,0,40903
A6,18621,19431,54360,26170,704,0,7253
A7,13044,15842,53608,21494,824,0,7511
A8,28794,21383,89066,33360,1637,0,9516
A9,25575,17421,87742,32823,1323,0,12125
A10,17208,17557,76558,23422,1241,0,8201
A11,25304,20563,90969,32784,1282,0,10008
A12,79790,19521,55628,26444,1038,0,4922
A13,32954,34019,182781,44755,1941,0,14761
A14,66509,47655,359928,81322,5046,0,34238
A15,52305,37179,265860,59941,3887,0,31877
A16,25385,18087,100195,26362,1652,0,13399
A17,321,22,182,34,1,0,16
A18,16304,17308,70836,24938,848,0,8651
A19,27116,24516,107188,35862,1710,0,10190
A20,27669,25887,141399,41617,2315,0,14544
A21,28769,23599,94827,34158,1227,0,8478
A22,923,342,869,261,13,0,102
A23,32687,38403,166015,41054,1763,0,18448
A24,37635,28583,112682,30904,1771,0,12446
B1,28721,24381,131397,40631,2178,0,20055
B2,24739,18818,86643,28369,1102,0,12286
B3,43176,25161,167547,42895,2168,0,20255
B4,29525,27570,148181,42383,2181,0,14934
B5,33471,27089,190131,47637,2576,0,28466
B6,1126,179,446,592,4,0,55
B7,17744,13909,58848,24708,715,0,5043
B8,24190,23237,101141,32298,1355,0,10941
B9,44358,37887,291458,61528,4003,0,43498
B10,13682,14978,39648,19135,461,0,5473
B11,16432,16970,58639,22358,830,0,7765
B12,19182,17435,83347,31170,1452,0,10226
B13,26374,23583,105810,33206,1698,0,11871
B14,13153,14890,46927,19410,655,0,7612
B15,129,17,135,68,0,0,7
B16,38919,30729,175000,46254,2157,0,30161
B17,27615,24294,89409,31880,1112,0,11488
B18,28410,21642,145839,41026,1999,0,17771
B19,29897,26032,163072,41433,1773,0,20419
B20,26181,21740,114284,34629,1970,0,10106
B21,40980,28255,178515,47831,3233,0,24278
B22,15244,14617,42450,18617,646,0,6290
B23,635,360,962,442,3,0,103
B24,46170,24011,140654,37801,2035,0,18559
C1,52946,38053,242193,62673,3253,0,31078
C2,23444,23352,86864,32852,1055,0,9088
C3,7720,3500,13144,9116,187,0,1290
C4,4806,1977,6201,5645,140,0,625
C5,23462,21302,95180,31717,1269,0,8973
C6,47936,31303,205583,52667,3074,0,22761
C7,2343,138,839,638,7,0,52
C8,45021,44210,224703,63042,3357,0,26036
C9,275,105,969,580,19,0,291
C10,26668,25026,99313,31431,1292,0,10386
C11,27209,22316,100645,32614,1203,0,10869
C12,19798,23354,75115,29807,992,0,8971
C13,17773,17912,62480,23840,928,0,7241
C14,52306,37495,264917,63618,3796,0,41653
C15,32959,26559,150940,37436,2328,0,14247
C16,21456,17593,74598,24873,957,0,8580
C17,17072,17108,50420,22156,500,0,7155
C18,41644,34878,248844,64513,3279,0,32435
C19,38934,28861,186093,49799,3024,0,27238
C20,1382,332,1390,363,4,0,130
C21,18723,17781,58772,26690,894,0,7103
C22,19909,35079,25180,29020,308,0,6602
C23,24865,23020,103993,38773,1464,0,13840
C24,43061,35443,228170,61729,2940,0,27550
D1,4938,1949,7168,5048,114,0,523
D2,4231,2122,8561,5563,127,0,482
D3,42035,24603,163602,39260,2400,0,22749
D4,352,34,149,299,4,0,18
D5,18912,17217,65312,24360,1580,0,7847
D6,25751,18749,80668,24437,1051,0,12759
D7,51001,39991,304084,75605,4392,0,36332
D8,31226,28045,159068,41786,2084,0,17468
