chromosome name,count
gi|9626372|ref|NC_001422.1|,5164
ERCC-00035,3204
ERCC-00158,16
ERCC-00073,10
ERCC-00160,848
ERCC-00099,733
ERCC-00028,244
ERCC-00051,2593
ERCC-00039,89
ERCC-00079,2817
ERCC-00060,49930
ERCC-00004,664024
ERCC-00117,0
ERCC-00109,0
ERCC-00126,77
ERCC-00164,441
ERCC-00111,21352
ERCC-00046,415890
ERCC-00108,21405
ERCC-00097,75
ERCC-00156,21
ERCC-00016,4
ERCC-00147,42
ERCC-00144,1023
ERCC-00061,0
ERCC-00084,893
ERCC-00170,1731
ERCC-00022,10502
ERCC-00083,72
ERCC-00042,47008
ERCC-00024,54
ERCC-00003,56797
ERCC-00002,959653
ERCC-00145,15751
ERCC-00081,0
ERCC-00071,2295
ERCC-00142,1
ERCC-00031,141
ERCC-00058,66
ERCC-00059,459
ERCC-00025,2018
ERCC-00017,0
ERCC-00157,311
GL456239.1,29
GL456210.1,1320
ERCC-00134,28
19,1920288
JH584304.1,36463
GL456372.1,473
JH584303.1,14
JH584294.1,23
13,2008542
GL456354.1,48
GL456221.1,1288
ERCC-00077,361
GL456394.1,7
GL456212.1,725
ERCC-00150,137
ERCC-00143,59
JH584292.1,0
GL456219.1,37
ERCC-00136,27330
ERCC-00044,2658
18,1219267
4,2999008
GL456367.1,853
GL456211.1,2238
16,1576429
ERCC-00168,89
JH584300.1,19
10,2356501
GL456396.1,941
ERCC-00054,819
JH584301.1,20
JH584298.1,140
GL456393.1,171
15,2114952
ERCC-00078,1399
GL456392.1,1757
3,2348560
ERCC-00116,5482
GL456350.1,48
5,3439637
ERCC-00092,14057
GL456366.1,6
GL456379.1,554
14,2140517
JH584299.1,479
17,4023741
12,1826277
GL456216.1,5331
ERCC-00098,74
X,1668798
JH584293.1,40
ERCC-00162,11328
MT,5801469
GL456383.1,272
ERCC-00019,1860
2,3848348
ERCC-00076,9992
JH584297.1,1146
JH584302.1,28
7,3306849
ERCC-00131,4824
8,2429300
ERCC-00154,536
11,3799834
ERCC-00053,4441
JH584296.1,539
ERCC-00075,0
9,2783580
GL456233.1,2914
Y,101422
ERCC-00148,719
ERCC-00104,200
GL456213.1,167
ERCC-00062,10204
GL456385.1,0
ERCC-00113,131323
ERCC-00069,5
ERCC-00120,70
ERCC-00014,22
GL456378.1,175
GL456389.1,993
ERCC-00123,120
ERCC-00048,5
GL456370.1,1752
JH584295.1,34
ERCC-00085,1577
ERCC-00095,11513
6,2917353
GL456381.1,0
ERCC-00057,0
GL456387.1,0
GL456382.1,48538
GL456390.1,291
1,5610079
ERCC-00040,0
ERCC-00067,40
ERCC-00041,0
ERCC-00163,652
ERCC-00096,593821
ERCC-00033,3
ERCC-00171,172717
ERCC-00034,543
GL456359.1,1
ERCC-00165,1811
GL456368.1,74
ERCC-00012,0
GL456360.1,5
ERCC-00086,0
ERCC-00009,28155
ERCC-00130,1016158
ERCC-00112,3107
ERCC-00138,0
ERCC-00074,1070316
ERCC-00043,35759
ERCC-00137,11
ERCC-00013,44
