status,count
barcode_unmatch_ambiguous_mapping,70886
barcode_unmatch_unaligned,5569293
barcode_unmatch_aligned,1286263
barcode_unmatch_mapped_to_exon,4894002
barcode_match,67540501
barcode_unmatch_mapped_to_intron,1775864
