chromosome name,count
gi|9626372|ref|NC_001422.1|,2905
ERCC-00035,3870
ERCC-00158,0
ERCC-00073,0
ERCC-00160,1308
ERCC-00099,723
ERCC-00028,199
ERCC-00051,1543
ERCC-00039,512
ERCC-00079,2669
ERCC-00060,41145
ERCC-00004,710443
ERCC-00117,0
ERCC-00109,1
ERCC-00126,668
ERCC-00164,17
ERCC-00111,22573
ERCC-00046,525139
ERCC-00108,28583
ERCC-00097,212
ERCC-00156,0
ERCC-00016,0
ERCC-00147,155
ERCC-00144,1115
ERCC-00061,72
ERCC-00084,717
ERCC-00170,1537
ERCC-00022,11184
ERCC-00083,0
ERCC-00042,50927
ERCC-00024,0
ERCC-00003,62252
ERCC-00002,1246907
ERCC-00145,17602
ERCC-00081,0
ERCC-00071,2476
ERCC-00142,0
ERCC-00031,619
ERCC-00058,82
ERCC-00059,399
ERCC-00025,1858
ERCC-00017,0
ERCC-00157,376
GL456239.1,29
GL456210.1,3110
ERCC-00134,0
19,2041641
JH584304.1,70849
GL456372.1,1150
JH584303.1,2
JH584294.1,38
13,1834631
GL456354.1,130
GL456221.1,2198
ERCC-00077,121
GL456394.1,24
GL456212.1,2012
ERCC-00150,240
ERCC-00143,152
JH584292.1,1
GL456219.1,196
ERCC-00136,41191
ERCC-00044,2919
18,1205652
4,2665809
GL456367.1,324
GL456211.1,4294
16,1598544
ERCC-00168,0
JH584300.1,44
10,2213817
GL456396.1,1794
ERCC-00054,354
JH584301.1,17
JH584298.1,100
GL456393.1,280
15,2137839
ERCC-00078,1997
GL456392.1,3006
3,2268874
ERCC-00116,7547
GL456350.1,83
5,3412942
ERCC-00092,16412
GL456366.1,15
GL456379.1,288
14,1945903
JH584299.1,411
17,4576682
12,1690620
GL456216.1,6441
ERCC-00098,0
X,1834076
JH584293.1,94
ERCC-00162,12703
MT,2990493
GL456383.1,431
ERCC-00019,1444
2,3754490
ERCC-00076,13954
JH584297.1,1263
JH584302.1,18
7,3372026
ERCC-00131,4637
8,2288801
ERCC-00154,388
11,3648207
ERCC-00053,4716
JH584296.1,614
ERCC-00075,112
9,2729908
GL456233.1,2052
Y,57838
ERCC-00148,318
ERCC-00104,44
GL456213.1,101
ERCC-00062,10012
GL456385.1,0
ERCC-00113,164957
ERCC-00069,11
ERCC-00120,64
ERCC-00014,427
GL456378.1,166
GL456389.1,2034
ERCC-00123,0
ERCC-00048,0
GL456370.1,1902
JH584295.1,50
ERCC-00085,299
ERCC-00095,9624
6,2724714
GL456381.1,1
ERCC-00057,0
GL456387.1,0
GL456382.1,46703
GL456390.1,533
1,4636297
ERCC-00040,33
ERCC-00067,166
ERCC-00041,32
ERCC-00163,488
ERCC-00096,575702
ERCC-00033,5
ERCC-00171,164021
ERCC-00034,511
GL456359.1,1
ERCC-00165,2558
GL456368.1,32
ERCC-00012,30
GL456360.1,4
ERCC-00086,68
ERCC-00009,30593
ERCC-00130,1175837
ERCC-00112,2693
ERCC-00138,0
ERCC-00074,1116260
ERCC-00043,39806
ERCC-00137,0
ERCC-00013,0
