cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
M6,17859,27129,90019,28149,1809,0,4571
M7,25944,34634,185909,42812,2765,0,14898
M8,14192,23610,58809,25116,1312,0,1764
M9,20709,25347,82573,38445,1063,0,7982
M10,19741,29985,103883,39601,1638,0,7739
M11,30025,35929,183101,52009,2555,0,11098
M12,25455,34887,143202,41322,2948,0,10028
M13,17084,26803,68230,31012,1633,0,6473
M14,422,13,55,17,1,0,2
M15,15773,24530,66259,27629,881,0,7399
M16,19474,31281,90804,37119,1203,0,11477
M17,804,93,136,35,71,0,9
M18,19084,23948,106968,32715,1942,0,5486
M20,21342,30298,109242,38869,1682,0,9593
M21,17056,23413,79162,28065,1509,0,10164
M22,15983,27507,78836,27886,1222,0,6621
M23,16330,22933,69828,33209,1344,0,5542
M24,16431,25954,74484,32128,1181,0,4364
N1,22898,20215,51060,21770,723,0,3767
N2,8556,16413,40330,12532,499,0,2699
N3,14636,19720,63194,27219,870,0,6114
N4,20781,25482,103962,36776,2238,0,5105
N5,16540,21743,80915,31475,1317,0,6222
N6,16267,24147,67864,25471,1734,0,5614
N7,19618,28030,92929,28318,1643,0,5966
N8,12238,21323,59809,23443,860,0,6332
N9,17876,27273,98257,32918,1198,0,9108
N10,22115,21718,76865,27795,1093,0,5920
N11,215,6,45,12,0,0,3
N12,706,141,58,30,1,0,7
N13,25128,32659,125577,42040,2077,0,10765
N14,16697,23256,81378,26029,1040,0,4018
N15,805,144,336,37,3,0,5
N16,23983,33010,155319,44841,2855,0,8598
N17,20683,30453,125014,41747,1736,0,8495
N18,28653,31188,190837,49354,3449,0,11114
N19,31685,33195,229580,51955,2941,0,19430
N20,14698,17678,70087,24812,957,0,6064
N21,20954,30178,114721,37835,2393,0,8894
N22,15118,22434,68212,24479,954,0,2174
N23,17097,22136,95080,28160,1774,0,8625
N24,26803,21632,63938,24658,660,0,4194
O1,20957,26265,90000,30532,1522,0,5165
O2,14766,24808,68655,29152,1092,0,5082
O3,885,466,1131,943,7,0,43
O4,29533,49472,181707,52362,2627,0,10431
O5,17230,37772,79007,30836,1186,0,2698
O6,15786,35072,74189,29289,1138,0,3854
O7,21825,41719,99564,35133,2230,0,4145
O8,25923,41526,140408,40027,2691,0,7450
O9,28486,48362,175656,49143,2693,0,11309
O10,25123,40547,110029,37162,1412,0,5796
O11,14928,37029,66044,21777,850,0,5047
O12,24712,46024,151589,44006,2571,0,11024
O13,24904,42109,167195,35975,2501,0,11083
O14,14713,31361,72247,25631,1020,0,5073
O15,24955,41482,140608,49419,2119,0,8917
O16,16572,31564,82321,27326,1061,0,4419
O17,27756,46138,167810,48757,2966,0,6513
O18,14670,31123,66340,25694,1179,0,4787
O19,19046,39479,83910,30996,637,0,4716
O20,19720,38021,90811,29954,1483,0,5757
O21,19305,38702,81417,33883,1055,0,7984
O22,425,393,2185,793,8,0,139
O23,973,112,422,490,0,0,4
O24,12439,15202,49346,17386,939,0,3753
P1,14741,18894,76253,25376,1105,0,3646
P2,320,8,7,180,0,0,0
P3,13883,25855,51750,21036,566,0,4326
P4,56940,31776,100311,29521,1840,0,4027
P5,16470,36556,80095,31571,955,0,9328
P6,17283,28813,65591,28476,867,0,4410
P7,41625,53689,297173,65414,3590,0,20092
P8,25725,40434,196248,41755,3183,0,16236
P9,29572,41054,218055,51740,2968,0,14941
P10,19826,32183,90195,28571,1428,0,5731
P11,388,330,824,123,0,0,49
P12,54586,62252,323528,68117,5186,0,20890
P13,736,305,840,566,2,0,40
P14,27520,45424,175235,54236,2740,0,19895
P15,21664,30640,106732,30881,2091,0,8056
P16,54529,45607,167831,58031,3172,0,13021
P17,21985,30205,75103,25840,1469,0,6639
P18,22248,28140,72651,28372,556,0,5703
P19,31184,36134,71954,29662,1140,0,5069
P20,25377,30446,72481,28390,1554,0,6186
P21,145,55,87,110,0,0,1
P22,23089,37095,119588,43452,1875,0,5050
P23,25,1,7,77,0,0,0
P24,217,10,380,47,0,0,2
