chromosome name,count
gi|9626372|ref|NC_001422.1|,3056
ERCC-00035,815
ERCC-00158,0
ERCC-00073,0
ERCC-00160,74
ERCC-00099,153
ERCC-00028,42
ERCC-00051,459
ERCC-00039,84
ERCC-00079,650
ERCC-00060,12645
ERCC-00004,178611
ERCC-00117,36
ERCC-00109,0
ERCC-00126,66
ERCC-00164,109
ERCC-00111,6084
ERCC-00046,103366
ERCC-00108,5573
ERCC-00097,5
ERCC-00156,0
ERCC-00016,30
ERCC-00147,38
ERCC-00144,142
ERCC-00061,0
ERCC-00084,169
ERCC-00170,362
ERCC-00022,3110
ERCC-00083,0
ERCC-00042,12811
ERCC-00024,0
ERCC-00003,15183
ERCC-00002,316984
ERCC-00145,3903
ERCC-00081,13
ERCC-00071,533
ERCC-00142,0
ERCC-00031,0
ERCC-00058,47
ERCC-00059,212
ERCC-00025,407
ERCC-00017,0
ERCC-00157,81
GL456239.1,20
GL456210.1,421
ERCC-00134,16
19,606854
JH584304.1,7573
GL456372.1,177
JH584303.1,0
JH584294.1,6
13,642593
GL456354.1,20
GL456221.1,433
ERCC-00077,93
GL456394.1,6
GL456212.1,388
ERCC-00150,60
ERCC-00143,14
JH584292.1,0
GL456219.1,19
ERCC-00136,6729
ERCC-00044,706
18,389522
4,985133
GL456367.1,292
GL456211.1,748
16,507871
ERCC-00168,3
JH584300.1,5
10,757271
GL456396.1,191
ERCC-00054,127
JH584301.1,7
JH584298.1,16
GL456393.1,30
15,690463
ERCC-00078,389
GL456392.1,249
3,761336
ERCC-00116,1674
GL456350.1,12
5,1149175
ERCC-00092,4597
GL456366.1,5
GL456379.1,207
14,705830
JH584299.1,92
17,1108716
12,599462
GL456216.1,1989
ERCC-00098,0
X,550660
JH584293.1,5
ERCC-00162,3205
MT,1856958
GL456383.1,53
ERCC-00019,344
2,1234595
ERCC-00076,2515
JH584297.1,476
JH584302.1,12
7,1090451
ERCC-00131,1001
8,803490
ERCC-00154,193
11,1227171
ERCC-00053,1378
JH584296.1,200
ERCC-00075,0
9,921187
GL456233.1,709
Y,38533
ERCC-00148,73
ERCC-00104,0
GL456213.1,121
ERCC-00062,2594
GL456385.1,0
ERCC-00113,36917
ERCC-00069,2
ERCC-00120,38
ERCC-00014,45
GL456378.1,40
GL456389.1,161
ERCC-00123,0
ERCC-00048,0
GL456370.1,991
JH584295.1,8
ERCC-00085,83
ERCC-00095,2844
6,903729
GL456381.1,0
ERCC-00057,0
GL456387.1,0
GL456382.1,14324
GL456390.1,41
1,1819765
ERCC-00040,20
ERCC-00067,7
ERCC-00041,0
ERCC-00163,161
ERCC-00096,158815
ERCC-00033,59
ERCC-00171,41850
ERCC-00034,170
GL456359.1,1
ERCC-00165,730
GL456368.1,11
ERCC-00012,0
GL456360.1,6
ERCC-00086,0
ERCC-00009,7313
ERCC-00130,237736
ERCC-00112,767
ERCC-00138,0
ERCC-00074,312736
ERCC-00043,8667
ERCC-00137,11
ERCC-00013,22
