cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,8091,7706,22476,8153,374,0,1327
A2,10869,9691,40393,11709,491,0,2212
A3,7493,5957,20858,8199,293,0,3844
A4,14373,9518,62141,14970,819,0,6761
A5,23089,10657,85497,18948,939,0,16461
A6,8154,5231,20837,8166,322,0,2106
A7,3473,4181,11465,4532,196,0,1578
A8,8207,4997,15908,6858,232,0,2556
A9,8081,4407,19238,7727,458,0,2800
A10,5657,5325,18264,6537,219,0,2855
A11,13839,8336,52686,15726,758,0,4660
A12,32297,11425,70805,19919,1074,0,8632
A13,13076,8154,62604,13825,1081,0,10009
A14,7963,5205,25870,7487,318,0,1749
A15,14424,7755,52185,13890,526,0,7575
A16,8236,5517,29468,8105,370,0,3398
A17,54,35,50,14,1,0,6
A18,7199,5115,32103,7730,518,0,5071
A19,10693,6792,39186,11970,645,0,3870
A20,10093,7465,38760,14650,529,0,4680
A21,14751,8921,63000,15798,1099,0,9548
A22,370,65,433,155,1,0,76
A23,10032,9145,35565,10643,420,0,2790
A24,12260,7004,25626,8552,315,0,2993
B1,6437,4999,15289,6259,231,0,1946
B2,13410,7555,49033,13948,597,0,7599
B3,14773,7846,44001,12070,583,0,4405
B4,6814,5258,22955,6813,390,0,2142
B5,14659,10246,68187,15572,970,0,11175
B6,585,79,308,158,3,0,30
B7,7596,5029,25740,9363,387,0,2477
B8,5542,4066,12302,5049,233,0,1240
B9,9615,7095,40158,10454,711,0,6937
B10,9887,5577,41545,9706,504,0,4725
B11,13021,8401,55687,14622,715,0,8982
B12,18239,11249,91239,20335,1342,0,13089
B13,11477,7893,42299,12347,486,0,6523
B14,4943,4237,17109,5720,285,0,2866
B15,63,6,26,17,0,0,1
B16,11415,6068,32884,10092,471,0,5123
B17,9570,5912,26024,8853,383,0,3350
B18,13095,7588,51707,13987,823,0,7427
B19,8224,5514,30887,8708,475,0,3257
B20,6160,3653,14557,5998,166,0,1254
B21,14369,7481,50370,12105,751,0,7820
B22,5582,3633,12381,5962,103,0,1584
B23,299,104,299,215,6,0,13
B24,10240,3653,13413,5443,277,0,1623
C1,13218,6101,40697,11279,489,0,5206
C2,5840,4876,10977,4851,133,0,1010
C3,11928,8840,46913,13750,655,0,7410
C4,11443,5949,30431,10235,633,0,2955
C5,14084,9610,58594,12884,829,0,7524
C6,22122,11888,89829,19100,1211,0,11863
C7,451,29,115,77,0,0,4
C8,16801,10997,76250,18605,911,0,8846
C9,72,12,208,51,9,0,59
C10,9181,5825,29000,9232,387,0,3418
C11,7517,6077,18620,7303,135,0,2295
C12,19768,12854,96190,23759,1421,0,15209
C13,5255,5015,13042,5514,143,0,1887
C14,7443,5061,17221,6868,191,0,2956
C15,11423,8568,50081,12224,922,0,4768
C16,13278,7667,57286,13452,705,0,9507
C17,17664,9596,82841,18672,1474,0,12346
C18,11710,8662,50069,14767,704,0,7164
C19,11647,7714,45489,11374,755,0,8262
C20,537,111,331,134,4,0,50
C21,8260,6161,30371,8655,389,0,3633
C22,9252,8019,34020,10046,384,0,3692
C23,10308,4743,31652,14243,307,0,5277
C24,18311,10921,77836,20100,787,0,11319
D1,12163,7768,53250,12327,680,0,5837
D2,4815,3821,14483,4854,223,0,1820
D3,12864,6091,39095,11211,629,0,6330
D4,76,16,39,40,0,0,7
D5,26917,12032,79968,19644,1214,0,10437
D6,18614,10397,79499,16630,953,0,13246
D7,5102,3824,13998,4917,242,0,1489
D8,10606,7152,42106,11595,457,0,4424
D9,4148,3598,9820,4838,105,0,1208
D10,4796,3489,11328,5308,178,0,1878
D11,4837,3638,16029,5671,273,0,1976
D12,7176,5809,21295,8176,265,0,2649
D13,493,114,493,279,5,0,111
D14,7667,5154,24013,8149,237,0,4166
D15,13482,9159,56745,13410,723,0,8094
D16,9233,6077,23900,8369,228,0,3057
D17,7429,5560,23669,8559,200,0,2518
D18,27465,7943,48074,13704,552,0,5664
D19,7294,5766,29901,8816,333,0,5219
D20,10736,7314,43531,12598,744,0,5835
D21,6598,5597,22184,7479,361,0,3471
D22,7400,4217,14321,6429,168,0,1980
D23,204,35,143,154,1,0,32
D24,11977,6850,47656,11984,573,0,6948
E1,6408,4947,18493,6032,254,0,1763
E2,19287,12007,78310,19092,1163,0,9637
E3,218,20,95,39,1,0,5
E4,8658,5792,20067,8584,246,0,3539
E5,14650,11068,65492,15088,948,0,10202
E6,9873,6809,22143,9254,450,0,2579
E7,11718,5145,19425,7169,175,0,2462
E8,18143,11750,75243,21056,1042,0,9256
E9,6712,5259,19841,7645,189,0,2188
E10,14825,11350,67453,16994,880,0,7368
E11,4091,4371,18867,4860,297,0,1452
E12,7713,6220,22425,8491,261,0,1899
E13,8667,7605,30256,9655,641,0,4257
E14,14401,9942,54126,13918,808,0,7012
E15,14829,8049,50483,14002,522,0,7812
E16,19153,10966,86017,18903,1167,0,13774
E17,6710,6497,19022,7144,304,0,2936
E18,5989,5376,15842,6686,214,0,1760
E19,8396,6828,24883,9019,354,0,2819
E20,8053,3615,19048,5574,358,0,2219
E21,334,13,114,39,0,0,18
E22,9003,5506,24453,8128,428,0,2034
E23,8354,5775,23154,9434,329,0,2250
E24,13137,9265,54230,13697,818,0,8271
F1,13890,9925,51873,13418,620,0,4614
F2,6290,5068,15435,6214,168,0,2132
F3,16756,7966,57946,11283,781,0,6111
F4,10127,6535,35277,9749,421,0,4033
F5,12995,6519,34098,11832,508,0,4578
F6,6269,3564,7894,3650,108,0,848
F7,3471,4035,10656,3882,124,0,680
F8,2469,3250,8148,2432,71,0,886
F9,12107,7774,47795,11826,645,0,4553
F10,6288,4197,18000,6814,180,0,3650
F11,274,142,712,260,4,0,74
F12,3174,2479,13671,3376,213,0,1057
F13,17860,10988,84958,17571,1110,0,16586
F14,18065,7932,56755,15019,727,0,9490
F15,110,10,65,30,0,0,14
F16,5060,3544,15880,4948,190,0,3402
F17,6957,5164,16144,7818,170,0,1544
F18,6733,4696,21777,6949,289,0,1535
F19,7770,5271,21322,8328,282,0,2855
F20,14439,8582,57249,15855,730,0,5058
F21,7113,5066,16334,7032,176,0,1741
F22,5934,3768,12149,5100,172,0,1480
F23,10603,6755,46231,12127,605,0,6189
F24,5118,3867,13991,5085,229,0,1147
G1,14211,10911,60040,15926,777,0,7107
G2,13877,9013,52673,14333,741,0,7489
G3,12421,7706,50026,12514,726,0,7213
G4,11295,8052,38785,12014,463,0,3042
G5,3909,3741,21778,4176,289,0,1568
G6,6269,5644,18198,7397,174,0,2680
G7,7418,5048,31623,8072,510,0,3719
G8,2722,2630,10507,2932,151,0,872
G9,2937,3577,11455,3549,163,0,568
G10,6729,6688,27322,8291,294,0,2238
G11,627,983,1957,881,3,0,94
G12,2341,1834,10486,2162,133,0,873
G13,6768,4664,20924,7118,237,0,2234
G14,9838,8212,30206,11680,360,0,4162
G15,9030,6242,34176,10124,409,0,5460
G16,8265,5045,19716,8079,292,0,1315
G17,8808,6123,24348,9966,310,0,2253
G18,13382,8721,59903,15338,688,0,8837
G19,15260,10802,63687,16726,909,0,7812
G20,17561,6048,20738,8656,321,0,2692
G21,11475,6737,37466,10577,502,0,3812
G22,10683,5818,34028,14763,444,0,4433
G23,19778,12211,83420,22424,1273,0,9274
G24,21494,12593,87050,24951,1283,0,8892
H1,14273,8577,54554,13857,707,0,5350
H2,8070,6102,24457,9253,296,0,3479
H3,5652,5009,15250,6154,175,0,1966
H4,21681,10919,78123,18721,1025,0,15783
H5,6385,3982,12600,6546,193,0,1850
H6,9527,6044,33484,8991,467,0,3827
H7,2166,1718,6294,2220,43,0,381
H8,95246,1198,7701,1581,132,0,752
H9,7034,4963,23483,8581,350,0,2747
H10,10355,5902,31081,9093,366,0,3746
H11,9815,6819,48199,10582,590,0,5352
H12,973,653,4526,892,35,0,434
H13,11432,8637,50842,14744,634,0,6321
H14,118,30,159,28,0,0,7
H15,7995,5066,29685,9028,529,0,4390
H16,11735,7729,44933,12837,481,0,8025
H17,9183,4529,17563,7376,193,0,2345
H18,7488,5756,27628,9055,441,0,2463
H19,5829,3284,11617,5078,135,0,1222
H20,7258,3684,13461,5381,241,0,1719
H21,6537,3555,21560,6341,304,0,2008
H22,7930,5015,22779,8961,498,0,2498
H23,13857,7995,57529,14111,865,0,8487
H24,1026,138,200,209,3,0,20
I1,10309,5377,20858,8516,320,0,3086
I2,345,42,229,81,5,0,33
I3,6122,7889,15262,6384,243,0,1522
I4,16672,13561,75955,18883,981,0,10087
I5,9821,8798,35614,10378,327,0,3020
I6,9129,8153,24815,9242,311,0,2068
I7,13165,10552,48494,12518,513,0,5922
I8,3862,5412,15521,4439,307,0,1665
I9,130,54,258,93,8,0,27
I10,13131,10859,49220,14526,551,0,4521
I11,1602,2605,5820,1607,197,0,201
I12,3427,3656,12324,3208,296,0,790
I13,6358,7437,16836,5900,294,0,1789
I14,6907,7255,16329,8065,289,0,1503
I15,6548,7842,18287,6780,167,0,2175
I16,6895,7487,15729,7236,284,0,1728
I17,12625,9066,37297,10103,478,0,3565
I18,14129,10842,55047,15949,865,0,5981
I19,44,4,10,18,0,0,0
I20,11096,9147,44664,11602,780,0,3687
I21,30553,13350,69910,19299,1070,0,7378
I22,35389,19008,123404,30556,1612,0,19034
I23,11868,6521,53376,10108,570,0,8419
I24,12958,6336,47908,13108,627,0,8156
J1,14997,9155,34269,10081,577,0,2789
J2,11933,8903,46271,10570,721,0,4378
J3,15756,11278,69604,17010,807,0,6904
J4,13663,10080,52210,13807,675,0,6715
J5,11668,8388,30060,10702,297,0,5409
J6,18951,14157,80796,18166,1278,0,9069
J7,17497,10671,62465,16075,821,0,8147
J8,2723,3631,11414,3268,104,0,688
J9,1232,2454,3745,1196,64,0,103
J10,47694,8484,44165,12397,593,0,4990
J11,1060,2041,3432,1005,38,0,336
J12,1697,2929,6553,1935,126,0,451
J13,15478,11395,62424,13894,857,0,6788
J14,10722,5955,26936,7434,377,0,2264
J15,9731,8966,41932,10071,689,0,5445
J16,21540,11516,79173,20063,896,0,10979
J17,160,29,77,52,1,0,5
J18,6784,6917,22572,8320,273,0,2408
J19,15999,12164,73045,16146,955,0,9530
J20,7888,5798,21748,7602,335,0,2687
J21,8983,7417,15054,5839,161,0,1026
J22,21347,8950,40758,11730,603,0,3769
J23,5490,4897,9997,3893,231,0,1542
J24,8815,7480,35442,9655,574,0,5347
K1,12891,12001,44044,13834,653,0,5362
K2,13538,10287,59643,12089,632,0,9106
K3,8741,8882,21301,9107,285,0,3223
K4,40502,8461,32068,11866,558,0,3222
K5,185,6,39,23,0,0,2
K6,18,8,33,20,0,0,7
K7,11697,9446,48892,13230,566,0,6238
K8,4905,4180,21022,3729,247,0,1209
K9,3398,1486,5660,1953,66,0,945
K10,17593,13636,78549,16826,1428,0,9241
K11,5512,4048,15081,2946,166,0,1480
K12,2135,3659,8220,1918,106,0,544
K13,14255,12593,51711,13759,717,0,5837
K14,512,137,537,175,6,0,96
K15,14562,10077,33793,11342,571,0,2664
K16,500,73,104,38,0,0,11
K17,1297,14,98,55,1,0,5
K18,9409,10116,31613,10023,413,0,3763
K19,317,82,261,145,6,0,29
K20,19240,11633,66491,16540,896,0,8874
K21,11774,9498,30952,12103,334,0,2175
K22,7743,9528,25893,7950,291,0,2607
K23,17183,11421,54333,14592,824,0,7967
K24,10383,8659,24115,7838,313,0,1495
L1,6718,8844,23792,6697,243,0,1916
L2,9753,9259,29806,10652,306,0,2520
L3,6385,5955,13944,5579,292,0,1715
L4,6336,6209,18591,6359,264,0,2243
L5,5902,6458,16359,6444,204,0,1559
L6,8136,9078,16788,7251,219,0,2914
L7,147,41,49,102,18,0,4
L8,6161,7368,16128,6575,181,0,2672
L9,6786,7965,18431,7009,194,0,1871
L10,14008,12249,58551,13435,990,0,4075
L11,13251,11565,54441,13775,954,0,5024
L12,6116,7260,16511,5426,255,0,1069
L13,15060,12745,64258,15349,714,0,5573
L14,8182,6988,13932,4758,280,0,1173
L15,429,102,169,140,0,0,42
L16,40,6,10,13,0,0,1
L17,7215,8561,23685,8302,339,0,3789
L18,10102,8534,38902,10084,639,0,3879
L19,7674,7816,25028,6855,282,0,1982
L20,5547,5707,16449,5100,269,0,1415
L21,475,44,152,95,0,0,11
L22,5831,6551,14624,6330,273,0,1452
L23,7783,8545,16012,7652,164,0,2004
L24,10359,8235,29709,11351,359,0,3328
M1,14294,12312,51554,14632,608,0,4906
M2,12458,12155,48617,13488,692,0,4236
M3,7104,7919,25117,7792,322,0,1549
M4,7630,9517,24583,7774,360,0,2614
M5,9176,10328,35830,10095,571,0,4129
M6,20364,16786,92323,19482,1539,0,11768
M7,5235,5996,13305,5040,167,0,2332
M8,13101,10582,57219,12904,757,0,6963
M9,13902,8707,46593,13404,611,0,5309
M10,8669,10432,26017,9877,249,0,2916
M11,12190,10357,43755,12786,503,0,3606
M12,7862,8697,20881,7126,252,0,2318
M13,7263,7201,17977,7398,314,0,2378
M14,355,4,16,11,0,0,2
M15,4641,7355,10400,4258,171,0,1417
M16,13199,12743,61180,12802,954,0,8384
M17,563,7,33,47,0,0,4
M18,11256,9591,39068,12828,603,0,3612
M20,18029,14813,82079,19465,1104,0,10099
M21,17376,13220,69727,18138,1094,0,8805
M22,7429,8938,21606,7259,246,0,2513
M23,5580,2058,15452,5855,311,0,2325
M24,12023,7465,51797,13559,664,0,5944
N1,9299,8778,38071,8674,572,0,3592
N2,5525,6574,24947,5849,409,0,2176
N3,10112,8761,32573,9485,431,0,3270
N4,14068,10943,58414,13986,774,0,7665
N5,9842,9316,39600,9525,544,0,5761
N6,9015,7738,29279,10172,385,0,2752
N7,8234,8501,24534,7415,330,0,3241
N8,13659,11865,69523,14715,809,0,9400
N9,6420,8382,16586,6925,214,0,1995
N10,12130,9965,51449,13016,780,0,6649
N11,59,5,25,10,0,0,0
N12,581,11,32,22,0,0,1
N13,8518,8101,27727,8923,361,0,2999
N14,8485,7433,28206,8330,418,0,2245
N15,449,8,111,23,16,0,29
N16,7924,7400,23783,7611,352,0,2457
N17,9408,9378,34664,10022,498,0,3229
N18,9033,8195,32691,9735,484,0,2964
N19,6097,6794,17030,6474,284,0,2004
N20,6277,4355,11907,4156,106,0,1450
N21,4994,7222,9525,4878,175,0,985
N22,14822,11393,65365,15491,845,0,4937
N23,9742,9178,35606,10154,535,0,4146
N24,6935,7558,18514,7648,369,0,1438
O1,11875,11446,46563,13040,651,0,3288
O2,10888,11489,42687,11476,750,0,3678
O3,810,143,591,326,1,0,30
O4,10295,9774,37649,11806,438,0,4341
O5,8074,10544,24830,7492,392,0,1511
O6,10960,10803,41833,11295,492,0,4144
O7,12416,12126,43461,11684,553,0,4216
O8,17994,15256,80364,17044,1270,0,6679
O9,8071,10436,25202,9780,391,0,3029
O10,15372,11995,58893,13589,710,0,4364
O11,8734,11154,29492,9796,336,0,4406
O12,7771,9816,26458,8670,367,0,1800
O13,6993,9995,23704,6849,493,0,2292
O14,11748,10355,51140,12212,752,0,4718
O15,8266,9841,25946,8484,338,0,2710
O16,17000,14494,71771,17072,973,0,7702
O17,11308,10822,46839,10673,699,0,3068
O18,8095,9380,26450,7250,490,0,2246
O19,16091,12490,61990,15587,749,0,5832
O20,6381,8146,16251,7689,202,0,1109
O21,8972,9930,23167,8163,333,0,1668
O22,195,117,478,290,12,0,48
O23,578,36,204,167,1,0,49
O24,6840,5059,13508,5633,217,0,1752
P1,3425,3622,6068,3481,81,0,394
P2,203,1,6,12,0,0,0
P3,11492,9162,40182,9545,493,0,4355
P4,15772,10398,43689,10580,755,0,3640
P5,8162,9165,30194,9781,372,0,3419
P6,8159,7473,20287,5974,345,0,1304
P7,17396,14790,77363,15660,1188,0,8545
P8,7707,9086,31660,8141,586,0,3792
P9,9722,9746,41288,9425,652,0,3623
P10,5492,7142,13798,5269,221,0,1405
P11,195,67,181,55,3,0,20
P12,16388,12182,67376,15783,945,0,5173
P13,162,45,121,47,4,0,7
P14,8137,9042,23998,8122,414,0,2503
P15,9076,9058,34451,9454,503,0,3089
