cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,15250,22761,107527,26788,2006,0,3589
A2,16440,23297,88056,25009,1684,0,6032
A3,11246,25085,67061,19300,1248,0,4218
A4,14678,23798,103019,26554,1437,0,4740
A5,13995,22199,87849,27737,861,0,6191
A6,14397,23445,94193,19421,1417,0,5201
A7,9610,17972,42986,18715,656,0,3087
A8,10371,18542,63316,19066,1030,0,3843
A9,18576,22387,146604,29803,2028,0,10051
A10,13284,24039,94622,24452,1444,0,5589
A11,12276,20121,68516,20049,1168,0,2259
A12,28250,27672,64952,22286,926,0,4390
A13,23744,32743,188907,35717,3943,0,9953
A14,17696,30579,114418,25793,2292,0,3123
A15,10071,22117,55786,18990,467,0,3460
A16,8652,16281,42859,14350,947,0,1915
A17,93,15,82,31,1,0,0
A18,8273,17508,46673,15878,713,0,2785
A19,10321,16532,52399,17600,1188,0,2721
A20,13056,26426,84855,23520,2297,0,3426
A21,8312,15168,50655,17557,1122,0,3241
A22,855,205,1981,396,20,0,82
A23,8396,13278,35907,14129,900,0,1795
A24,11064,15372,71366,17877,1078,0,5034
B1,11849,17534,44072,14930,499,0,2448
B2,10039,21365,59157,15310,1060,0,4526
B3,15815,22535,100221,28485,1643,0,5167
B4,12866,21318,85756,26135,1424,0,4896
B5,18500,30258,125685,36423,2113,0,5159
B6,230,109,721,108,4,0,128
B7,10352,18098,55461,21098,804,0,1592
B8,16863,27973,124365,25553,1579,0,6824
B9,17678,25911,139456,32327,2113,0,9192
B10,8333,16593,53731,14625,728,0,3345
B11,9429,19613,56158,18970,706,0,4331
B12,8435,16106,47085,12852,908,0,2393
B13,12439,22479,65553,28062,886,0,5699
B14,9009,18063,56767,18404,697,0,5825
B15,114,24,181,39,3,0,5
B16,20280,31361,156349,33670,2283,0,13971
B17,13961,24580,81463,24595,1311,0,3741
B18,13116,21113,84255,26890,1740,0,3817
B19,9873,16596,57372,17048,1118,0,2291
B20,9940,18033,57026,16085,1256,0,3724
B21,9094,18232,54416,17113,773,0,2828
B22,7935,15004,41631,14580,698,0,1800
B23,206,339,567,389,4,0,27
B24,19609,15657,64877,23701,1278,0,3583
C1,11182,21971,52791,19570,818,0,3082
C2,11374,21175,57230,18433,1026,0,3750
C3,31737,36266,208134,45920,3576,0,14273
C4,19088,19864,67277,19623,1719,0,3271
C5,9790,14896,62592,14678,654,0,1979
C6,15989,19981,77718,24873,1365,0,5486
C7,420,47,357,153,3,0,11
C8,12893,21776,72820,27481,1106,0,5355
C9,163,233,969,163,36,0,112
C10,14438,20903,91252,23171,2223,0,4226
C11,19963,26237,131456,35280,2387,0,3417
C12,22281,25769,139944,31533,2058,0,3543
C13,12064,17680,61459,25389,854,0,4602
C14,12659,16876,56206,17931,945,0,5389
C15,30510,31998,174602,36838,2810,0,8477
C16,16100,17420,104782,21664,1553,0,3952
C17,26073,26281,160632,46155,1979,0,6218
C18,12055,19085,70834,21021,681,0,6643
C19,13112,16338,69753,19689,1596,0,2662
C20,192,224,749,372,4,0,61
C21,21321,25095,148146,38850,2706,0,6793
C22,13763,20110,81867,21838,2380,0,2392
C23,13755,12740,95218,27028,1353,0,6624
C24,9678,20556,59761,17359,835,0,4001
D1,12854,18177,59273,17046,1331,0,2947
D2,12882,15213,62667,18124,609,0,4042
D3,10387,8935,28579,10043,542,0,1154
D4,267,17,88,8,2,0,3
D5,14740,20127,104785,25045,1909,0,5628
D6,19031,18622,105851,28125,1556,0,10846
D7,20605,27588,159277,32599,2334,0,10118
D8,11798,16041,57603,17139,922,0,2541
D9,10501,16726,55702,19733,1184,0,4361
D10,14555,15715,85599,23567,1809,0,3881
D11,9030,9072,37601,12996,471,0,2081
D12,23844,20874,87102,31998,1657,0,3853
D13,224,158,993,152,3,0,15
D14,14148,14626,54519,17219,668,0,4735
D15,38638,41122,298640,66503,4587,0,16329
D16,37385,17312,83183,21190,1433,0,3970
D17,14184,16634,63861,22231,1193,0,4250
D18,16462,21455,98785,30461,1368,0,6076
D19,21676,14599,69832,16915,1228,0,4370
D20,14043,18160,63970,21923,1445,0,2064
D21,21105,22294,131266,36197,1848,0,11798
D22,8077,9747,36310,12686,574,0,2001
D23,372,49,159,251,2,0,1
D24,8369,11912,48679,13494,975,0,3452
E1,18789,24598,105823,27376,1670,0,4142
