chromosome name,count
gi|9626372|ref|NC_001422.1|,1476
ERCC-00035,2751
ERCC-00158,0
ERCC-00073,0
ERCC-00160,945
ERCC-00099,599
ERCC-00028,49
ERCC-00051,2968
ERCC-00039,292
ERCC-00079,3498
ERCC-00060,31660
ERCC-00004,553977
ERCC-00117,0
ERCC-00109,3
ERCC-00126,183
ERCC-00164,163
ERCC-00111,17171
ERCC-00046,330045
ERCC-00108,25814
ERCC-00097,4
ERCC-00156,0
ERCC-00016,0
ERCC-00147,161
ERCC-00144,776
ERCC-00061,0
ERCC-00084,1205
ERCC-00170,739
ERCC-00022,7620
ERCC-00083,0
ERCC-00042,29167
ERCC-00024,24
ERCC-00003,28595
ERCC-00002,930600
ERCC-00145,12051
ERCC-00081,0
ERCC-00071,1916
ERCC-00142,0
ERCC-00031,0
ERCC-00058,0
ERCC-00059,251
ERCC-00025,1165
ERCC-00017,0
ERCC-00157,92
GL456239.1,72
GL456210.1,2288
ERCC-00134,0
19,1735473
JH584304.1,24771
GL456372.1,1146
JH584303.1,4
JH584294.1,67
13,1438417
GL456354.1,56
GL456221.1,1843
ERCC-00077,380
GL456394.1,6
GL456212.1,1875
ERCC-00150,170
ERCC-00143,242
JH584292.1,1
GL456219.1,32
ERCC-00136,23475
ERCC-00044,2142
18,970696
4,2330346
GL456367.1,526
GL456211.1,3650
16,1289878
ERCC-00168,0
JH584300.1,2
10,1954872
GL456396.1,388
ERCC-00054,804
JH584301.1,19
JH584298.1,109
GL456393.1,106
15,1873419
ERCC-00078,1673
GL456392.1,1108
3,1898639
ERCC-00116,4796
GL456350.1,104
5,3191406
ERCC-00092,12076
GL456366.1,4
GL456379.1,196
14,1684100
JH584299.1,248
17,4352579
12,1391008
GL456216.1,5077
ERCC-00098,0
X,1571544
JH584293.1,37
ERCC-00162,6913
MT,2198478
GL456383.1,366
ERCC-00019,1330
2,3134356
ERCC-00076,9740
JH584297.1,1191
JH584302.1,11
7,3090569
ERCC-00131,3861
8,2099232
ERCC-00154,170
11,3180873
ERCC-00053,2108
JH584296.1,423
ERCC-00075,0
9,2231936
GL456233.1,697
Y,44381
ERCC-00148,369
ERCC-00104,1
GL456213.1,173
ERCC-00062,4042
GL456385.1,5
ERCC-00113,122639
ERCC-00069,12
ERCC-00120,181
ERCC-00014,0
GL456378.1,111
GL456389.1,288
ERCC-00123,40
ERCC-00048,0
GL456370.1,979
JH584295.1,22
ERCC-00085,1144
ERCC-00095,9428
6,2299091
GL456381.1,4
ERCC-00057,0
GL456387.1,1
GL456382.1,41906
GL456390.1,156
1,3804545
ERCC-00040,22
ERCC-00067,98
ERCC-00041,0
ERCC-00163,259
ERCC-00096,416778
ERCC-00033,97
ERCC-00171,136683
ERCC-00034,546
GL456359.1,0
ERCC-00165,1297
GL456368.1,19
ERCC-00012,0
GL456360.1,14
ERCC-00086,0
ERCC-00009,19507
ERCC-00130,1000465
ERCC-00112,1972
ERCC-00138,0
ERCC-00074,828333
ERCC-00043,27348
ERCC-00137,0
ERCC-00013,139
