cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,11639,22650,48534,18630,440,0,2718
A2,22125,31678,137196,38702,1710,0,12750
A3,23503,25589,158336,39223,2021,0,15586
A4,16212,17923,93285,28225,1281,0,7402
A5,30150,26065,154177,42570,1840,0,16435
A6,23576,21613,157864,34826,2178,0,12841
A7,10417,12147,45661,17188,439,0,3484
A8,13068,13859,39388,17826,489,0,3279
A9,16007,16333,80430,24113,929,0,7543
A10,9435,14405,51525,19809,542,0,4479
A11,13479,14314,59531,21672,684,0,5266
A12,44941,22979,165033,37800,2649,0,11964
A13,8996,13309,42586,17938,615,0,2708
A14,21059,19690,124534,32110,1906,0,10169
A15,14259,15334,59889,20137,1064,0,2920
A16,9689,9303,35998,12229,453,0,2164
A17,149,22,221,53,6,0,11
A18,5828,8463,23656,10448,268,0,2828
A19,12221,13559,55577,17629,530,0,3466
A20,22047,22796,145507,36848,2160,0,13990
A21,25436,23722,157409,47320,1902,0,13826
A22,287,185,284,118,0,0,13
A23,9182,15330,31904,12712,447,0,1957
A24,15140,14413,53296,19033,723,0,2665
B1,19860,21108,113249,31952,1431,0,11584
B2,15804,15055,71864,23086,720,0,7272
B3,23198,17550,91347,29896,1166,0,7485
B4,22777,21568,141047,34919,1788,0,10356
B5,17987,17774,115140,30747,2210,0,10477
B6,718,134,378,434,1,0,31
B7,9970,9705,44926,17782,725,0,4033
B8,11447,12922,46519,21937,1034,0,3003
B9,21388,20259,130542,40148,1448,0,19768
B10,8813,10109,35521,15401,559,0,3771
B11,12969,14583,79060,22109,1057,0,7565
B12,10793,11069,60851,19195,892,0,4630
B13,24201,29412,110678,46977,1596,0,10293
B14,14121,17876,88709,25121,1639,0,10234
B15,91,18,71,19,1,0,5
B16,18458,14552,90053,29202,971,0,10118
B17,15279,17688,65891,24102,779,0,6935
B18,13246,15091,66685,24739,1121,0,4181
B19,9038,10309,37000,14019,495,0,1585
B20,19197,19322,107238,33195,1700,0,7564
B21,19855,15343,98249,27606,1725,0,9146
B22,20505,19326,131322,32717,1633,0,12658
B23,407,251,775,318,6,0,28
B24,14952,9060,32234,16842,590,0,2373
C1,15050,14593,47529,19860,491,0,3571
C2,21760,22757,130299,34680,1741,0,9503
C3,12797,15375,71267,21648,770,0,5755
C4,12029,9956,39283,16354,567,0,2522
C5,26645,22646,155748,39204,2378,0,14458
C6,15767,13382,58423,22999,776,0,2675
C7,1047,69,322,106,3,0,19
C8,26699,24489,139046,42671,2093,0,11069
C9,128,259,481,276,0,0,21
C10,17938,17639,101884,26713,1014,0,11130
C11,42622,28151,153312,45162,1983,0,8747
C12,12455,16630,63856,23403,786,0,3874
C13,17721,18124,107255,27314,1550,0,10168
C14,19288,17692,101498,29867,1297,0,12068
C15,10629,12021,47312,18787,984,0,3469
C16,10140,10815,33538,17488,534,0,3207
C17,17840,16315,111792,27017,1423,0,9755
C18,11170,12382,53617,18827,1090,0,4753
C19,23760,20237,140953,34112,2357,0,15430
C20,530,57,496,348,7,0,152
C21,34097,31324,239093,58119,3127,0,24480
C22,25019,22865,153267,38922,1847,0,13038
C23,7706,9868,16979,11669,367,0,5246
C24,27235,22332,161683,49122,2106,0,15605
D1,10883,13232,44118,16182,733,0,2534
D2,9189,11292,31985,15660,437,0,2243
D3,17615,14561,68250,28210,1063,0,6771
D4,177,22,29,62,1,0,2
D5,10911,10938,46041,16339,980,0,2174
D6,16486,15821,73063,25844,783,0,10423
D7,10074,10638,37876,15499,414,0,4201
D8,16852,14988,89780,27701,1414,0,11777
D9,23538,21469,138243,34966,1997,0,11140
D10,8598,9455,32064,14352,312,0,3897
D11,12780,12230,75388,23454,1145,0,7227
D12,11179,12673,38122,18355,440,0,3464
D13,530,286,889,500,21,0,90
D14,10641,10802,37936,19444,407,0,6597
D15,14076,13286,71037,24606,1180,0,6176
D16,25642,18127,105600,31732,1267,0,8519
D17,20155,20458,114476,38091,1415,0,8065
D18,19481,19336,123898,34909,1686,0,10868
D19,7992,9879,31084,12204,368,0,4202
D20,10502,10599,46106,20053,878,0,4252
D21,22754,22874,150942,33948,2229,0,16741
D22,18302,14054,86565,26323,950,0,6636
D23,623,54,217,170,4,0,19
D24,19232,14944,107092,26236,1251,0,12478
E1,9561,10642,40717,13637,655,0,3899
E2,37914,32228,231319,50155,3317,0,20628
E3,340,72,129,210,0,0,7
E4,11907,11346,38696,20276,509,0,4093
E5,13415,14598,59641,22799,1123,0,5359
E6,13465,14562,43570,20455,422,0,5795
E7,15564,11579,29129,18738,317,0,2294
E8,27132,26272,174907,37203,2837,0,15462
E9,9212,10044,33971,16937,631,0,2104
E10,9927,13853,50563,19402,892,0,4636
E11,19684,19614,155279,28217,2193,0,12816
E12,16404,17212,85790,29653,1065,0,6574
E13,9377,12983,33428,15848,387,0,2432
E14,16769,17307,77402,27808,990,0,9293
E15,14041,11396,38204,18840,787,0,2321
E16,7451,7872,19338,9212,465,0,1591
E17,22200,23518,135945,39663,2245,0,14980
E18,12737,10832,73345,11968,1025,0,5271
E19,34105,30348,217606,62195,2951,0,16930
E20,7738,4541,18512,8020,273,0,2231
E21,614,238,442,416,4,0,103
E22,20609,20230,127417,29945,1577,0,13815
E23,12670,11062,54551,19267,1073,0,5158
E24,10436,13113,41816,17901,540,0,3455
F1,13721,12860,39502,20141,647,0,3137
F2,13050,14097,58737,21551,987,0,6724
F3,13058,8759,44671,14340,512,0,2933
F4,9182,8766,23791,12217,374,0,1898
F5,9607,8666,31866,15162,398,0,2470
F6,17786,12080,73381,20344,870,0,6203
