chromosome name,count
gi|9626372|ref|NC_001422.1|,2843
ERCC-00035,1931
ERCC-00158,66
ERCC-00073,0
ERCC-00160,727
ERCC-00099,455
ERCC-00028,115
ERCC-00051,1190
ERCC-00039,121
ERCC-00079,1941
ERCC-00060,34047
ERCC-00004,470505
ERCC-00117,0
ERCC-00109,0
ERCC-00126,177
ERCC-00164,548
ERCC-00111,13980
ERCC-00046,378983
ERCC-00108,13057
ERCC-00097,44
ERCC-00156,0
ERCC-00016,4
ERCC-00147,89
ERCC-00144,406
ERCC-00061,0
ERCC-00084,909
ERCC-00170,1363
ERCC-00022,7551
ERCC-00083,0
ERCC-00042,39213
ERCC-00024,0
ERCC-00003,35972
ERCC-00002,666517
ERCC-00145,11999
ERCC-00081,0
ERCC-00071,1144
ERCC-00142,0
ERCC-00031,16
ERCC-00058,15
ERCC-00059,240
ERCC-00025,767
ERCC-00017,0
ERCC-00157,258
GL456239.1,17
GL456210.1,986
ERCC-00134,27
19,1351856
JH584304.1,48675
GL456372.1,621
JH584303.1,7
JH584294.1,14
13,1403901
GL456354.1,47
GL456221.1,995
ERCC-00077,134
GL456394.1,6
GL456212.1,758
ERCC-00150,77
ERCC-00143,88
JH584292.1,7
GL456219.1,29
ERCC-00136,31814
ERCC-00044,1669
18,819398
4,2007657
GL456367.1,401
GL456211.1,1836
16,1098527
ERCC-00168,66
JH584300.1,22
10,1591979
GL456396.1,1326
ERCC-00054,442
JH584301.1,36
JH584298.1,19
GL456393.1,148
15,1460329
ERCC-00078,797
GL456392.1,2797
3,1635303
ERCC-00116,4843
GL456350.1,42
5,2426450
ERCC-00092,11527
GL456366.1,5
GL456379.1,235
14,1510316
JH584299.1,195
17,2485284
12,1275558
GL456216.1,3454
ERCC-00098,0
X,1258048
JH584293.1,53
ERCC-00162,12292
MT,2996561
GL456383.1,316
ERCC-00019,659
2,2636326
ERCC-00076,7529
JH584297.1,941
JH584302.1,23
7,2186908
ERCC-00131,2598
8,1619359
ERCC-00154,232
11,2579165
ERCC-00053,3578
JH584296.1,297
ERCC-00075,0
9,1913617
GL456233.1,1999
Y,58529
ERCC-00148,758
ERCC-00104,0
GL456213.1,313
ERCC-00062,7865
GL456385.1,0
ERCC-00113,84867
ERCC-00069,36
ERCC-00120,6
ERCC-00014,189
GL456378.1,98
GL456389.1,1640
ERCC-00123,61
ERCC-00048,0
GL456370.1,1726
JH584295.1,63
ERCC-00085,439
ERCC-00095,6974
6,1929014
GL456381.1,0
ERCC-00057,0
GL456387.1,0
GL456382.1,46255
GL456390.1,545
1,3981494
ERCC-00040,0
ERCC-00067,28
ERCC-00041,0
ERCC-00163,157
ERCC-00096,327558
ERCC-00033,279
ERCC-00171,105424
ERCC-00034,452
GL456359.1,114
ERCC-00165,830
GL456368.1,22
ERCC-00012,0
GL456360.1,5
ERCC-00086,16
ERCC-00009,18233
ERCC-00130,635072
ERCC-00112,2092
ERCC-00138,0
ERCC-00074,860080
ERCC-00043,27382
ERCC-00137,1
ERCC-00013,14
