cell_id,unaligned,aligned_unmapped,mapped_to_exon,mapped_to_intron,ambiguous_mapping,mapped_to_ERCC,mapped_to_MT
A1,35479,23836,81762,35122,1295,0,9319
A2,51810,40965,261142,62574,4125,0,25134
A3,24111,27254,104161,33196,1493,0,16786
A4,22277,22904,76336,28125,972,0,9070
A5,45622,22776,96430,31116,1145,0,12939
A6,74835,47249,331094,68997,5210,0,41251
A7,11574,18553,57312,20378,1000,0,5143
A8,27014,24346,83207,30421,1720,0,11324
A9,16693,16910,74014,22938,1307,0,8280
A10,24792,34024,154060,37913,1980,0,16122
A11,30680,32636,152921,44093,1861,0,12650
A12,118053,29177,120254,42735,1741,0,9671
A13,23708,30894,143857,38369,2043,0,13572
A14,17194,21015,37947,18293,425,0,3227
A15,29314,25962,137633,38436,2394,0,16454
A16,20839,20695,108049,29728,1552,0,10429
A17,137,68,152,20,1,0,25
A18,12068,16557,54483,16904,1031,0,5588
A19,25607,26696,116206,40783,1406,0,11211
A20,16481,25140,78555,28299,971,0,7808
A21,34174,38084,219472,57922,3400,0,19912
A22,644,152,733,494,5,0,46
A23,31954,27173,156525,40281,2305,0,15825
A24,35606,19902,86239,29811,1459,0,7793
B1,20421,19787,61219,23204,881,0,4858
B2,37000,30934,182876,52060,3369,0,25249
B3,34417,22825,129051,35931,1614,0,12472
B4,23951,27200,117059,39714,1598,0,11079
B5,38382,42974,229059,62072,3073,0,22578
B6,1576,387,1429,520,30,0,154
B7,20365,24233,99211,37337,1598,0,9370
B8,29743,20091,60002,23454,583,0,5976
B9,14841,18830,64472,26365,654,0,7172
B10,16224,16601,59880,21174,1091,0,6330
B11,12227,15805,57433,18843,887,0,4082
B12,13237,20015,64488,18195,1053,0,6431
B13,22781,27837,120199,33847,1483,0,15029
B14,12760,19950,63812,24156,673,0,7882
B15,125,29,164,60,2,0,61
B16,20430,20975,82683,28147,826,0,13288
B17,32367,31733,171347,50815,2160,0,22938
B18,18780,23422,95893,30159,1334,0,10132
B19,19816,23242,104429,30419,1344,0,8051
B20,23154,27616,120081,38587,1968,0,13183
B21,34153,28456,148514,44524,2239,0,16756
B22,23204,25726,129650,44452,1771,0,11010
B23,357,410,910,301,9,0,221
B24,37453,25780,94902,38677,1710,0,11762
C1,33108,30035,131155,44254,2143,0,12291
C2,22212,27013,87621,28367,1164,0,9257
C3,26777,29632,153482,44560,2318,0,17331
C4,31766,29724,187508,43451,2978,0,17713
C5,19298,19145,78078,26170,778,0,7731
C6,59749,49595,313465,72893,4241,0,36535
C7,2130,139,993,320,12,0,165
C8,29846,32578,181286,43914,3072,0,19913
C9,376,440,2016,520,18,0,438
C10,21920,21492,120231,32945,2635,0,16486
C11,33146,29786,177842,44936,2328,0,14707
C12,22176,24105,127637,35975,1867,0,13973
C13,26383,27015,157699,37795,1988,0,16853
C14,43429,34708,235944,62073,3208,0,25000
C15,19626,20882,52113,24868,932,0,4202
C16,30898,27308,141670,47469,1909,0,17217
C17,28823,26327,182078,41718,2939,0,17575
C18,30510,30438,176940,48608,3144,0,24088
C19,42250,33349,235323,57839,3196,0,26203
C20,1649,179,2267,653,63,0,466
C21,23039,26147,117122,40934,1748,0,11558
C22,23832,21397,112714,34439,1826,0,9764
C23,37124,41014,247818,63384,3374,0,26034
C24,20560,25505,99593,33463,2240,0,12316
D1,24749,23621,112660,38594,1237,0,7443
D2,30557,29805,187176,51511,2120,0,21606
D3,26691,20804,95731,33439,1242,0,10665
D4,413,167,160,78,0,0,13
D5,17306,17215,65815,26636,772,0,8241
D6,30062,22201,114879,37024,1990,0,14689
D7,26615,24466,118718,34330,1732,0,11273
D8,24751,23357,111569,37025,1664,0,10860
D9,17822,17796,78234,27235,1211,0,8370
D10,27934,26514,175267,44923,2485,0,16193
D11,10551,12243,48559,18889,856,0,4530
D12,28171,26515,144688,41719,2087,0,11327
D13,1175,293,1159,420,4,0,67
D14,23452,19927,100548,28166,1193,0,13139
D15,18804,17996,78266,26740,1568,0,6729
D16,20835,13663,51239,18478,568,0,4385
D17,20267,17383,89587,28350,1164,0,10763
D18,14049,15751,56220,22309,841,0,6740
D19,16608,16416,82758,22532,1298,0,10023
D20,30030,29841,190704,46306,3095,0,21383
D21,43862,43836,306702,73487,4109,0,46232
D22,27219,20939,135599,31026,2124,0,15948
D23,870,50,521,252,1,0,71
D24,30782,19691,126399,27181,2297,0,14287
E1,13130,15865,39588,17269,651,0,3557
E2,41210,37088,239208,57667,3510,0,23235
E3,628,78,465,261,2,0,101
E4,41255,38825,266282,61368,3962,0,32599
E5,19135,22933,83835,29415,1087,0,8167
E6,32689,27969,150505,42543,2447,0,15904
E7,50626,33301,218656,60647,3289,0,18867
E8,41527,38338,224365,60895,3743,0,15553
E9,14461,18771,60391,22560,713,0,6565
E10,22778,26258,127949,36959,2671,0,13636
E11,18861,22635,136431,29170,1706,0,13957
E12,32308,30510,172953,49028,2578,0,14204
E13,52777,48348,374062,82426,5257,0,42157
E14,34448,32704,194968,49026,2658,0,20315
E15,53714,40933,286393,64957,3903,0,32037
E16,18874,21672,89033,29684,1023,0,11467
E17,26531,28628,153956,47366,1984,0,14681
E18,55326,50689,372698,82604,5641,0,32601
E19,41509,42530,256567,61830,3254,0,23558
E20,13160,9128,39835,13890,613,0,4706
E21,1652,723,2105,825,7,0,316
E22,20026,23181,93881,29897,1451,0,7174
E23,27289,22292,110641,36747,2008,0,9178
E24,34323,34537,203632,52653,2329,0,25217
F1,38449,29159,179929,40713,2186,0,16879
F2,16482,18411,55699,23796,668,0,6230
F3,30635,18388,101091,23466,1276,0,10611
F4,30576,27738,151710,33425,1810,0,16362
F5,34137,24139,148955,38393,2265,0,14234
F6,26769,13849,55845,18151,786,0,5104
F7,10382,11967,49367,16321,797,0,3254
F8,13357,15138,91386,18876,1415,0,10021
F9,34962,26778,179750,43572,2353,0,16388
F10,25239,24965,143661,37811,2346,0,21426
F11,638,494,1311,1118,12,0,180
F12,2452,2609,13337,4480,230,0,921
F13,15682,17030,63459,21232,822,0,9590
F14,19553,14232,52962,19411,700,0,6403
F15,820,113,1203,239,10,0,227
F16,12428,16001,63340,17442,1017,0,10797
F17,28743,28312,168504,40771,2084,0,17232
F18,24559,23282,149240,33526,2007,0,14945
F19,21193,25243,101927,30778,1320,0,11986
F20,20713,17718,76690,24898,1127,0,9470
F21,29846,26553,180695,44718,2392,0,16640
F22,16517,15381,56764,21435,985,0,9697
F23,28700,29568,190708,46703,3415,0,22323
F24,21891,16957,78935,27690,1187,0,9242
G1,18763,23203,87689,31129,1431,0,8850
G2,38903,40121,248656,55447,3708,0,32006
G3,13886,18047,57796,21626,920,0,6071
G4,15724,22345,77675,24225,873,0,3899
G5,2680,6842,14553,3331,163,0,843
G6,26281,32181,146765,37677,2448,0,15614
G7,24975,32099,183007,42608,3146,0,14986
G8,5045,12019,23447,8206,502,0,1771
G9,10067,18332,72700,16006,1156,0,3600
G10,9415,18096,52750,14207,845,0,3043
G11,5067,7799,37528,8836,541,0,2213
G12,2577,5079,14855,4689,292,0,606
G13,14682,22224,58179,24104,778,0,5389
G14,29389,36189,176900,44220,3233,0,29053
G15,21693,24934,115676,34551,1695,0,9049
G16,39168,35827,174911,43467,2416,0,14172
G17,30278,25641,104274,41804,1145,0,9526
G18,18156,27633,81025,33747,1064,0,9529
G19,18108,24366,76526,26971,1169,0,7660
G20,49855,52034,336569,88210,5469,0,34408
G21,39699,38722,226122,53539,2665,0,27198
G22,17285,21841,69597,30125,679,0,6436
G23,20416,21588,80743,29326,1144,0,9734
G24,21349,23282,77207,28774,1142,0,8143
H1,55847,49428,330032,68502,5604,0,33336
H2,17310,21059,79503,26707,1218,0,7264
H3,19886,28160,101445,34389,1249,0,9471
H4,24504,25181,75209,29191,670,0,9318
H5,38971,39756,238950,55577,2913,0,29682
H6,15108,19139,55408,21258,899,0,6458
H7,18395,23002,115700,32332,1556,0,8831
H8,313607,5710,28955,6264,259,0,2152
H9,15913,20673,62295,22177,747,0,7083
H10,13535,28545,34324,23751,427,0,3563
H11,18255,23857,111742,32464,1574,0,10441
H12,4897,5652,33451,6747,290,0,1405
H13,25943,33515,172302,52150,2529,0,19105
H14,307,305,745,194,3,0,57
H15,17838,20981,66041,23767,1433,0,7671
H16,15239,21434,57309,23824,977,0,6687
H17,24316,26098,117896,33364,1810,0,16897
H18,21384,16469,59606,22005,952,0,7625
H19,16258,21246,85318,26759,1241,0,8684
H20,23230,22811,99886,27532,1729,0,10445
H21,13188,13546,73941,18322,954,0,6883
H22,36244,39572,224178,64183,3551,0,19768
H23,34037,34043,201900,48958,3169,0,20632
H24,3794,572,2835,1133,35,0,248
I1,51051,42873,261920,67335,4032,0,30422
I2,754,216,699,480,5,0,56
I3,42086,42889,249877,58534,4049,0,19841
I4,17995,24823,93690,26420,968,0,11109
I5,31824,33236,199328,48481,2747,0,16341
I6,22984,22257,95168,27921,1156,0,6496
I7,38431,30984,182171,51013,2999,0,16767
I8,5122,9192,21827,8641,444,0,1319
I9,305,223,777,329,4,0,93
I10,18656,21962,61672,22979,713,0,4250
I11,4890,6984,27369,8372,483,0,1446
I12,7502,5959,34223,8391,391,0,1563
I13,36752,34209,199180,47330,3530,0,18245
I14,22352,23509,88521,36569,1209,0,5649
I15,22860,25216,118460,37667,2252,0,10874
I16,36584,35251,191651,57490,3161,0,18413
I17,19962,17730,70141,24065,1426,0,6625
I18,32008,31021,180809,48188,2717,0,14373
I19,281,44,23,7,1,0,2
I20,28642,31201,169944,48104,2827,0,16015
I21,22970,25743,119573,34399,1966,0,11273
I22,38176,32728,125707,37162,2112,0,14385
I23,36878,32370,117436,38886,1206,0,8945
I24,29718,33245,193021,41824,3030,0,21065
J1,40187,22135,81024,28820,939,0,5937
J2,19214,23318,100836,29805,1123,0,8319
J3,27101,21065,106354,36537,1695,0,10391
J4,17849,16961,66338,30040,1132,0,6134
J5,29600,26712,148013,44341,2040,0,19146
J6,48728,24694,137560,39240,1746,0,10768
J7,27084,16664,58353,22472,863,0,6543
J8,5963,8220,34420,7759,345,0,1434
J9,5681,9843,35838,10412,505,0,2393
J10,31338,18542,79022,25829,1092,0,6353
J11,4097,5368,22644,6369,305,0,1805
J12,10235,11781,53371,18467,784,0,2700
J13,42674,27443,141554,42563,2387,0,14306
J14,23567,20424,121472,31961,2036,0,10443
J15,27680,24880,127588,32284,1821,0,15656
J16,41627,22754,109806,33217,1843,0,11383
J17,700,70,309,76,2,0,63
J18,29592,32688,185163,48160,2366,0,22148
J19,37060,30873,174288,54238,2347,0,16763
J20,31987,33714,161106,53497,2588,0,14287
J21,19236,20756,72324,27755,789,0,5209
J22,26471,17441,73504,23817,1362,0,5386
J23,20708,19040,84211,24804,1295,0,11124
J24,15880,16374,62419,24459,806,0,6163
K1,22911,30073,97337,39733,1134,0,10655
K2,26530,31556,124271,42032,1360,0,15877
K3,37369,41748,224508,60473,2836,0,18676
K4,25245,28178,88856,33326,1000,0,7745
K5,369,87,66,219,1,0,10
K6,139,37,321,132,0,0,21
K7,27689,25488,102763,32160,1404,0,10534
K8,9945,10194,36539,11882,953,0,1678
K9,39252,16329,62094,23235,776,0,4327
K10,28233,22251,57593,21398,1010,0,5048
K11,18217,11356,56098,13965,762,0,3457
K12,4414,6873,21076,6230,384,0,737
K13,34806,33528,174891,45731,2394,0,16799
K14,1245,377,1869,628,12,0,144
K15,54314,31927,163317,49269,2365,0,17874
K16,1844,74,491,213,4,0,103
